column_0,column_1,participant,trial,period
27.275276,-6.8167915,1,72,feedback
22.019896,-53.723614,1,72,planning
-76.802864,-9.78377,1,73,baseline
-4.0161,-12.960898,1,73,feedback
6.1271524,-50.027233,1,73,planning
-4.6631665,20.598476,1,74,baseline
-37.89085,-29.933378,1,74,feedback
55.98068,25.117928,1,74,planning
39.57192,2.1987,1,75,baseline
-30.224506,0.53540033,1,75,feedback
-37.956684,-7.6297126,1,75,planning
10.827176,12.981189,1,76,baseline
-41.094234,32.19386,1,76,feedback
6.8529596,30.330297,1,76,planning
-4.2914414,37.13041,1,77,baseline
7.7093205,1.3631239,1,77,feedback
1.4924256,37.05211,1,77,planning
-17.475002,45.730835,1,78,baseline
-34.963406,-28.567291,1,78,feedback
-15.039902,37.98533,1,78,planning
-64.05415,-10.952555,1,79,baseline
0.9874034,-32.87326,1,79,feedback
39.18057,-36.43395,1,79,planning
31.841484,3.9157853,1,80,baseline
-69.247246,-1.0139402,1,80,feedback
-12.095704,-26.562479,1,80,planning
6.8850603,34.41123,1,81,baseline
-39.19711,13.558464,1,81,feedback
64.24928,35.24722,1,81,planning
-9.6109085,33.00482,1,82,baseline
31.070976,-28.572653,1,82,feedback
-49.67992,7.5576034,1,82,planning
24.882925,-19.943048,1,83,baseline
-4.9090977,-33.787292,1,83,feedback
17.357433,-2.0617769,1,83,planning
89.95475,17.853848,1,84,baseline
12.249175,-27.088812,1,84,feedback
-26.059202,-44.6725,1,84,planning
16.494293,3.4608574,1,85,baseline
13.080455,14.0764475,1,85,feedback
12.1888075,-5.1078157,1,85,planning
24.681606,18.458893,1,86,baseline
-56.65704,30.468489,1,86,feedback
-41.28175,-9.717456,1,86,planning
62.741226,8.382424,1,87,baseline
-0.7665165,36.96198,1,87,feedback
-41.28104,20.199455,1,87,planning
16.204111,8.077514,1,88,baseline
23.274244,7.1049876,1,88,feedback
-33.389988,-20.781729,1,88,planning
-62.658985,-6.016397,1,89,baseline
74.98804,-12.079131,1,89,feedback
1.2954459,7.906364,1,89,planning
-9.917977,36.92159,1,90,baseline
30.90558,-42.10964,1,90,feedback
-35.764816,8.008245,1,90,planning
-23.324558,32.305237,1,91,baseline
9.431997,21.061272,1,91,feedback
-0.26443142,-39.967453,1,91,planning
-58.035645,-0.3337873,1,92,baseline
25.62973,-29.319529,1,92,feedback
2.7336118,-60.321594,1,92,planning
47.326298,17.351412,1,93,baseline
25.635052,-29.374939,1,93,feedback
66.779655,37.774487,1,93,planning
-15.537509,6.4764752,1,94,baseline
17.582048,-43.57423,1,94,feedback
49.02891,-36.093575,1,94,planning
38.84511,-6.5927567,1,95,baseline
39.025776,-5.400914,1,95,feedback
0.89293164,-44.511887,1,95,planning
-9.2618885,6.4677725,1,96,baseline
0.6625542,20.690018,1,96,feedback
-34.244453,4.4036684,1,96,planning
25.916237,27.703615,1,97,baseline
58.99121,-10.191619,1,97,feedback
-63.352947,19.414343,1,97,planning
-55.70934,24.944595,1,98,baseline
-61.82991,-15.410789,1,98,feedback
-3.865073,-37.30024,1,98,planning
-77.9249,-13.47309,1,99,baseline
11.6025,18.61372,1,99,feedback
66.51745,6.26116,1,99,planning
-54.81072,0.75387007,2,0,baseline
1.4621842,18.301601,2,0,feedback
-56.23466,-30.818495,2,0,planning
-42.0901,24.083399,2,1,baseline
56.532806,-17.082102,2,1,feedback
-49.835686,25.973673,2,1,planning
-15.464138,11.427786,2,2,baseline
52.791298,2.537873,2,2,feedback
-41.17946,-23.315561,2,2,planning
-17.581749,9.422294,2,3,baseline
10.960127,-31.983753,2,3,feedback
-51.05314,-2.3872159,2,3,planning
-33.5022,-9.699148,2,4,baseline
28.369078,-28.102198,2,4,feedback
-19.32199,-36.95032,2,4,planning
-2.5413477,0.8814206,2,5,baseline
-13.081262,-46.924465,2,5,feedback
-51.978794,-28.21327,2,5,planning
-9.129103,0.6821259,2,6,baseline
51.48117,-16.487988,2,6,feedback
-36.872288,-51.010277,2,6,planning
-22.474247,15.804955,2,7,baseline
34.493862,31.987572,2,7,feedback
-31.04127,-31.19341,2,7,planning
-27.055487,12.240922,2,8,baseline
-7.6326923,23.460045,2,8,feedback
-55.0138,-32.52937,2,8,planning
-42.265015,4.5687575,2,9,baseline
10.303311,-30.887615,2,9,feedback
-8.154664,-41.425934,2,9,planning
21.759115,18.624594,2,10,baseline
6.4908876,-33.551575,2,10,feedback
-40.169712,-16.61689,2,10,planning
-2.0795884,6.872087,2,11,baseline
35.120377,-33.379692,2,11,feedback
24.131117,-27.835903,2,11,planning
-24.617142,-2.878569,2,12,baseline
-39.17876,-36.501183,2,12,feedback
46.386486,38.427845,2,12,planning
-31.216343,12.464003,2,13,baseline
34.580196,-23.461016,2,13,feedback
73.69974,24.111727,2,13,planning
-24.623554,29.926058,2,14,baseline
44.20002,-5.239162,2,14,feedback
-44.40222,-8.474551,2,14,planning
-29.700577,-11.362302,2,15,baseline
-16.031479,-35.300114,2,15,feedback
-17.887451,-53.77847,2,15,planning
-37.95078,19.52094,2,16,baseline
24.3985,6.153067,2,16,feedback
-33.082584,-21.953022,2,16,planning
-8.313826,31.450726,2,17,baseline
12.862482,-40.302486,2,17,feedback
-32.422287,-34.93745,2,17,planning
-11.037038,-1.1307108,2,18,baseline
22.708359,-11.939694,2,18,feedback
14.303035,27.396765,2,18,planning
-4.2169175,-2.6708646,2,19,baseline
-35.699646,7.3938484,2,19,feedback
69.87159,29.408182,2,19,planning
8.434589,18.980873,2,20,baseline
33.4887,-37.53703,2,20,feedback
-19.77962,-36.644535,2,20,planning
12.890474,-15.617702,2,21,baseline
36.77207,-5.7309074,2,21,feedback
53.905857,38.116947,2,21,planning
20.93803,2.1064477,2,22,baseline
-0.46336174,-32.32798,2,22,feedback
-47.74057,-3.3552895,2,22,planning
-40.020363,26.751497,2,23,baseline
-7.5280156,16.92663,2,23,feedback
-49.002674,4.9263935,2,23,planning
6.9822307,10.131184,2,24,baseline
-4.908552,24.38838,2,24,feedback
-0.081152216,-39.78392,2,24,planning
-27.48981,-6.7735176,2,25,baseline
10.2743225,23.052412,2,25,feedback
-30.014399,-28.162668,2,25,planning
-30.478952,-1.6927996,2,26,baseline
-4.4683437,26.066183,2,26,feedback
-34.183712,50.89061,2,26,planning
-31.447142,20.39958,2,27,baseline
10.177192,24.009653,2,27,feedback
1.7284648,-45.515984,2,27,planning
11.197225,-20.430153,2,28,baseline
-42.733543,-13.170079,2,28,feedback
-22.62148,-50.977684,2,28,planning
21.6563,20.897215,2,29,baseline
-2.6465585,17.856901,2,29,feedback
14.32722,35.263237,2,29,planning
32.080215,14.846449,2,30,baseline
25.187931,9.431686,2,30,feedback
-69.584404,-17.192335,2,30,planning
-17.644623,4.629737,2,31,baseline
-17.673416,12.488117,2,31,feedback
-25.996532,-41.118336,2,31,planning
5.999429,15.821813,2,32,baseline
-36.02958,-24.696424,2,32,feedback
57.329906,38.746315,2,32,planning
-15.655401,22.109165,2,33,baseline
36.52547,23.891802,2,33,feedback
0.03352789,-19.920815,2,33,planning
9.298493,9.445325,2,34,baseline
3.5605757,-27.03676,2,34,feedback
